Column1,Column2
It can insert only 2 drives at once .,It can insert only 2 drives at once .
"It 's cool , is n't it ?","It 's cool , is n't it ?"
It ticlkes my engineerity !,It tickles my imagination !
"hmmmm , I really wanna buy the belt .","Hmmmm , I really wanna buy the belt ."
But it 's over 4500 yen .,But it 's over 4500 yen .
Too expensive !,Too expensive !
The PV of the song of my best friend 's band is up at last !,The PV of the song by my best friend 's band is up at last !
You like it?(*´∀｀ ),You like it ? ( * ́∀ ` )
"When I was going for a moonlight stroll this night , I heard that "" bell - ringing "" crickets were singing .","When I was going for a moonlight stroll that night , I heard that "" bell - ringing "" crickets were singing ."
I recognized that the summer is finally end and the autumn is falling .,I recognized that the summer had finally ended and autumn was falling .
I 've heard that any people do not enjoy songs of crickets besides the Japanese .,I 've heard that no people enjoy songs about crickets besides the Japanese .
"So , I 'm wondering what do you actually feel when you watch this video .","So , I 'm wondering what you actually feel when you watch this video ."
Cross Bike !,Cross Bike !
Do you know cross bike ?,Do you know about cross - bike ?
These days cross bikes are growing in popularity amongst Japanese .,"These days , cross bikes are growing in popularity amongst Japanese people ."
Cross bike is shaped like road bicycle and MTB .,Cross bike is shaped like a road bicycle and MTB .
But it is arranged for town - use .,But it is arranged for town - use .
They have narrow wheels and therefore can go really fast .,"They have narrow wheels and , therefore , can go really fast ."
I had really wanted for months .,I had really wanted to for months .
"But finally , I got one ! ! !","But finally , I got one ! ! !"
The shop staff told me that this was the hot - selling this year !,The shop staff told me that this was the hot - selling this year !
I rode from the bike shop to home on it right after I purchased .,I rode from the bike shop to home on it right after I purchased it .
It was 30 minutes ride .,It was a 30 - minute ride .
It was great to ride roadway !,It was great to ride a motorbike !
"There were n't any bumpy things , so I could go really fast !","There were n't any bumpy things , so I could go really fast !"
But I often had to stop and turn my face back because there were so many taxis cars parking on the streets .,But I often had to stop and turn my face back because there were so many taxi cars parking on the streets .
"My bike does n't have a stand , so I lifted it up and brought it in front of my apartment which is on the 3rd floor .","My bike does n't have a stand , so I lifted it up and brought it in front of my apartment which is on the 3rd floor ."
"The frame is aluminum made , so it is light as a feather !","The frame is aluminum , so it is light as a feather !"
I 'm still suffered from a headache .,I still suffered from a headache .
I 'm going to absent myself from classes tomorrow .,I 'm going to absent myself from classes tomorrow .
Good night everyone .,Good night everyone .
I am exhausted .,I am exhausted .
I 'm sorry that I could n't reply your comments and message for a few days .,I 'm sorry that I could n't reply to your comments and message for a few days .
It was a three days and 2 nights event .,It was a three - day and - two - night event .
Over 180 young people gathered from all corners of Japan !,Over 180 young people gathered from all corners of Japan !
And we talked about our dream all night long !,And we talked about our dream all night long !
I really want to write more about this event .,I really want to write more about this event .
"I had a really , really great time !","I had a really , really great time !"
But I 'm too tired now .,But I 'm too tired now .
I got home almost midnight yesterday .,I got home almost midnight yesterday .
And I had a general lab forum this morning .,And I had a general lab forum this morning .
"After the forum , I was trying to advance my research .","After the forum , I was trying to advance my research ."
"But somehow , my simulation program did n't work properly .","But somehow , my simulation program did n't work properly ."
I was struggling with errors until the last train .,I was struggling with errors until the last train .
"When I came back home , it was already past midnight .","When I came back home , it was already past midnight ."
Then I had a small supper .,Then I had a small supper .
I 'm so frustrated and exhausted .,I 'm so frustrated and exhausted .
It 's already half past 4 now .,It 's already half past 4 now .
I must go to bed .,I must go to bed .
I will have to wake up in 3 hours .,I will have to wake up in 3 hours .
Good night everyone .,Good night everyone .
"Testing , testing "" Today is fine . ""   I have a big news !","Testing , testing . "" Today is fine . "" I have big news !"
I received the letter of acceptance from Nagoya University graduate school ! ! !,I received the letter of acceptance from Nagoya University graduate school ! ! !
"But as the proverb goes , "" Do n't halloo till you are out of the woods . ""","But as the proverb goes , "" Do n't halloo till you are out of the woods . """
This is just a beginning .,This is just the beginning .
I must study hard !,I must study hard !
Even harder than now !,Even harder than now !
Sightseeing with Lang8 friends ! ( 4 ),Sightseeing with Lang 8 friends ! ( 4 )
I could n't write a journal entry last night because I was sitting in front of the TV for 3 hours !,I could n't write a journal entry last night because I was sitting in front of the TV for 3 hours !
You know why ?,You know why ?
It was because there was the World Cup match of Japan against Cameroon !,It was because there was the World Cup match between Japan and Cameroon !
Japan recorded the first World Cup victory outside Japan .,Japan recorded the first World Cup victory outside Japan .
"In the site of the shrine , there was the treasury that held lots of treasures .","In the site of the shrine , there was the treasury that held lots of treasure ."
"In the treasury , there were many antiquarian books and antiques .","In the treasury , there were many antiquarian books and antiques ."
"In this period , they were featuring antiquarian epistles which I could n't read at all .","In this period , they were featuring antiquarian epistles which I could n't read at all ."
But there were also many beautiful samurai swords !,But there were also many beautiful samurai swords !
They looked so cool !,They looked so cool !
There was a huge sword that was more than 3 meters in length !,There was a huge sword that was more than 3 meters in length !
I could n't believe someone actually used it at the battles !,I could n't believe someone actually used it in the battles !
It was my second time .,It was my second time .
But I did n't become weary at all !,But I did n't become weary at all !
It was really snug place .,It was a really snug place .
So we ride it .,So we did .
"Although she had longed to ride it so much , she was a fear of height .","Although she had longed to ride it so much , she was afraid of heights ."
So she was quiet when we were in the gondola the whole time .,So she was quiet when we were in the gondola the whole time .
Do n't you think bears enable you to speak English more fluently?lol,Do n't you think bears enable you to speak English more fluently ? lol
Anyway I had a great time with them .,Anyway I had a great time with them .
I wish they had same feelings as mine !,I wish they had the same feelings as mine !
The welcome party !,The welcome party !
I really regret I could n't write a jounal yesterday .,I really regret I could n't write a journal yesterday .
But please overlook it .,But please overlook it .
"When I got home , it was already past 12:00 .","When I got home , it was already past 12:00 ."
"I was writing this journal on the bed , but I fell asleep .","I was writing this journal on the bed , but I fell asleep ."
"Yesterday , the seniors of the lab held a welcome party for us !","Yesterday , the seniors of the lab held a welcome party for us !"
It was really fun !,It was really fun !
We had a lot of drinks .,We had a lot of drinks .
"And we talked about researches , girls , professors , and future jobs .","And we talked about research , girls , professors , and future jobs ."
The siniors sometimes link daily things to technical terms .,The seniors sometimes link daily things to technical terms .
"For instance , when a guy was bashful while he was talking about his girlfriend , the others hooted at him like .....","For instance , when a guy was bashful while he was talking about his girlfriend , the others hooted at him like ....."
""" Hey , look at him !",""" Hey , look at him !"
"He is quenching!!LOL ""","He is quenching ! ! LOL """
From wikipedia,From Wikipedia
A quench is an abnormal termination of magnet operation that occurs when part of the superconducting coil enters the normal state .,A quench is an abnormal termination of magnet operation that occurs when part of the superconducting coil enters the normal state .
"When this happens , that particular spot is subject to rapid Joule heating , which raises the temperature of the surrounding regions .","When this happens , that particular spot is subject to rapid Joule heating , which raises the temperature of the surrounding regions ."
Then the guy retorted like ...,"Then the guy retorted , like ..."
""" I am still in the flux flow region !",""" I am still in the flux flow region !"
"I am still self - restoreable ! ""","I am still self - restoreable ! """
"It is so funny to talk this , is n't it ? ?","It is such fun to talk about this , is n't it ?"
I really respect the seniors of the lab .,I really respect the seniors of the lab .
They are earnest to thier reseaches .,They are earnest in their research .
And they have lots of expart knowledge .,And they have lots of expert knowledge .
I am so glad to to be incorporated as a member of the lab !,I am so glad to be incorporated as a member of the lab !
Tokyo Incident !,Tokyo Incident !
And this is one of my favorite songs .,And this is one of my favorite songs .
My favorite part of this song is ...,My favorite part of this song is ...
"To translate it in English , it is like ...","To translate it into English , it is like ..."
"Draw a bead on skeletons , synthesizer .","Draw a bead on skeletons , synthesizer ."
Life in the charts is brief .,Life in the charts is brief .
"What I think she wants to say is , it 's easy to be in the charts or follow the mode .","What I think she wants to say is , it 's easy to be in the charts or follow the mode ."
The most important thing is to create the songs which never gets faded and are admired by everyone without regard to age or mode at all time .,The most important thing is to create songs which never get faded and are admired by everyone without regard to age or mode at all times .
OH MY GASH !,OH MY GASH !
I still have n't finished my homework yet .,I still have n't finished my homework yet .
It 's already 2:34 now .,It 's already 2:34 now .
I 'm going to take chairmanship of the group discussion tomorrow .,I 'm going to take chairmanship of the group discussion tomorrow .
But I do n't think I am ready for that .,But I do n't think I am ready for that .
Also I have a big presentation Wednesday .,Also I have a big presentation Wednesday .
And there is a huge homework due Thursday .,And there is a huge homework due Thursday .
I have n't touched it yet .,I have n't touched it yet .
This is not good .,This is not good .
There is only a good news .,There is only good news .
I bought a sleeping bag !,I bought a sleeping bag !
"From now on , I can stay up all night in the lab comfortably !","From now on , I can stay up all night in the lab comfortably !"
No more arranged chairs !,No more arranged chairs !
The love and the Japanese language !,Love and the Japanese language !
"In English , it 's easy to express your love by saying "" I love you . ""","In English , it 's easy to express your love by saying "" I love you . """
"Japanese , however , had n't have the proper word which signifies "" love "" because of the sensibilities and lyricism .","Japanese , however , did n't have the proper word which signifies "" love "" because of their sensibilities and lyricism ."
He was an English teacher of a high school when he was around 30 years old .,He was an English teacher of a high school when he was around 30 years old .
"I think what he meant was that "" love "" is the feeling that makes the moon looks brighter than the moon you see by yourself .","I think what he meant was that "" love "" is the feeling that makes the moon look brighter than the moon you see by yourself ."
There is an another story .,There is another story .
How deep ! ! ! !,How deep ! ! ! !
Sightseeing with Lang8 friends ! ( 3 ),Sightseeing with Lang 8 friends ! ( 3 )
Previously of my last journal entries ......,Previously in my last journal entries ......
I 've been there a couple of times before .,I 've been there a couple of times before .
It 's a really scenic place .,It 's a really scenic place .
So they must have a great time there .,So they must have a great time there .
"The day before yesterday , they came back from Takayama .","The day before yesterday , they came back from Takayama ."
They had a free day on Friday because the flight would depart Saturday afternoon .,They had a free day on Friday because the flight would depart Saturday afternoon .
They arrived at the bus station at 1 p.m.,They arrived at the bus station at 1 p.m.
"When they got down the buss , they looked really tired .","When they got off the bus , they looked really tired ."
I thought it was because of the long way of mountain road .,I thought it was because of the long way of mountain road .
I might have other choice then .,I might have another choice then .
"Now shrines and temples are popular among the youths and the adults as "" power spots . "" Those places are often said they have some mysterious power and bring you some fortunes .","Now shrines and temples are popular among young people and adults as "" power spots . "" Those places are often said to have some mysterious power and bring you good fortune ."
So I thought it must be good for her cold somehow .,So I thought it must be good for her cold somehow .
It was really good place .,It was a really good place .
"Although it is placed in a middle of the city , there are lots of greenery .","Although it is located in the middle of the city , there is lots of greenery ."
So many people go there for strolls .,So many people go there for strolls .
I have classes tomorrow .,I have classes tomorrow .
So I 'm going to bed now .,So I 'm going to bed now .
Good night everyone ! :),Good night everyone ! :)
To be contined ......,To be continued ......
I lost my wallet this morning.｡ﾟ(ﾟ´Д｀ﾟ)ﾟ｡,I lost my wallet this morning .。゚(゚ ́ Д ` ゚)゚ 。
Everything was in that wallet .,Everything was in that wallet .
"Like my driver 's licence , student identification card , cash card , commuter 's tickets and health care card .","Like my driver 's licence , student identification card , cash card , commuter 's tickets and health care card ."
I have n't paid the fine of the illegal parking .,I have n't paid the fine for illegal parking .
So unlucky .,So unlucky .
I am so depressed .,I am so depressed .
I made a computer program in the experiment class last semester .,I made a computer program in the experiment class last semester .
I had been centering my efforts upon making that program for a month .,I had been centering my efforts on making that program for a month .
"And at the end of the semester , I was awarded the prize for the result of the presentation .","And at the end of the semester , I was awarded the prize for the result of the presentation ."
"This program is a image processing program which uses "" Fourier transform "" .","This program is an image processing program which uses the "" Fourier transform "" ."
"Have you ever heard "" Fourier transfrom "" before ?","Have you ever heard of the term "" Fourier transform "" before ?"
"If you have leared signal processing or optics , you might have heard the name before .","If you have studied signal processing or optics , you might have heard the name before ."
Fourier transform is an operation that transforms one complex - valued function of a real variable into another .,The Fourier transform is an operation that transforms one complex - valued function of a real variable into another .
"For example , in the case of signal processing , the domain of the original function is typically time .","For example , in the case of signal processing , the domain of the original function is typically time ."
"And after the practice of Fourie transform , that of the new function is frequency .","And after the practice of the Fourie transform , the new function is frequency ."
This sounds a little bit difficult .,This sounds a little bit difficult .
But you must have seen this technique and are just unaware of it .,But you must have seen this technique and are just unaware of it .
Do you know that sound is a travelling wave ?,Do you know that sound is a travelling wave ?
"When you play piano or guiter , the melody you play is a composition of the waves .","When you play piano or guitar , the melody you play is a composition of waves ."
But a chord of music can be described by notes .,But a chord of music can be described by notes .
The primary meaning of note is the pitch of a sound .,The primary meaning of note is the pitch of a sound .
And pitches are quantified as frequencies .,And pitches are quantified as frequencies .
So the waves which are functions of time domain are decomposed into functions of frequency domain .,"So , waves which are functions of the time domain are decomposed into functions of the frequency domain ."
This is the sprit of Fourie transform .,This is the spirit of Fourie transform .
"Fourie transform is used for instance in the physical study of wave motion , optics and control engineering .","Fourie transform is used , for instance , in the physical study of wave motion , optics and control engineering ."
And also this technique is important in the field of image processing .,And also this technique is important in the field of image processing .
To Be Continued .....,To Be Continued .....
The flier of the explanatory meeting of YFU !,The flier of the explanatory meeting of YFU !
Today I was out of shape .,Today I was out of shape .
So I was staying indoors most of the day .,So I was staying indoors most of the day .
Actually It 's been a week that I feel sickness at my stomach .,Actually it 's been a week since I felt sickness in my stomach .
"Yesterday , I had the another widsdom tooth out .","Yesterday , I had another wisdom tooth out ."
Last night the gums were still bleeding .,Last night the gums were still bleeding .
So I might have drunk too much .,So I might have drunk too much .
"I had pulled out a wisdom tooth last week , too .","I had pulled out a wisdom tooth last week , too ."
So those must be the reason of why I 've been feeling so sick this week .,So those must be the reasons why I 've been feeling so sick this week .
I still have 2 wisdom teeth .,I still have 2 wisdom teeth .
I 'm planning to pull out them this Saturday !,I 'm planning to pull them out this Saturday !
I 'm so glad that I will be released from this nightmare .,I 'm so glad that I will be released from this nightmare .
"Anyway , the explanatory meeting of YFU will be held in couple weeks !","Anyway , the explanatory meeting of YFU will be held in a couple of weeks !"
So I was making a flier of it .,So I was making a flier of it .
I am not good at drawing and using illustration soft .,I am not good at drawing and using illustration software .
But I put a line about copyright at the bottom .,But I put a line about copyright at the bottom .
So I hope this does n't break the law !,So I hope this does n't break the law !
This is my first time to make a flier !,This is my first time making a flier !
I think this is not bad .,I think this is not bad .
How do you think ?,What do you think ?
What I did today .,What I did today .
"Today , I woke up at 13:37 .","Today , I woke up at 13:37 ."
I turned on a TV immediately .,I turned on the TV immediately .
My recent favorite soup opera starts at 13:30 .,My recent favorite soup opera starts at 13:30 .
So I felt regret for oversleeping .,So I felt regret for oversleeping .
"What 's more , regrettably , today 's episode was the last one !","What 's more , regrettably , today 's episode was the last one !"
of the drama ! !,of the drama ! !
"So , I missed 7 minutes of it .","So , I missed 7 minutes of it ."
But the story was really touching .,But the story was really touching .
There was a memorable line .,There was a memorable line .
"That was , "" Our happiness would n't be bought at the sacrifice of any of us . ""","That was , our happiness would n't be bought at the sacrifice of any of us . """
That line was really impressive .,That line was really impressive .
Do you agree with that ? ?,Do you agree with that ?
It 's Mother 's Day ! !,It 's Mother 's Day ! !
It 's Mother 's Day ! ! !,It 's Mother 's Day ! ! !
What did you do to your mother?(*^_^ * ),What did you do for your mother ? ( * ^_^ * )
"There were lots of "" mom "" !","There were lots of "" mom "" !"
I had many bottles of sake .,I had many bottles of sake .
And I am so drunk now !,And I am so drunk now !
What I gave to my mom were a bunch of bath powders !,What I gave to my mom was a lot of bath powders !
Maybe you guys do n't have a culture to have a leisurely bath !,Maybe you guys do n't have a culture of having a leisurely bath !
But bath powders are your best friends if you take a bath ! ! ! ! !,But bath powders are your best friends if you take a bath ! ! ! ! !
There are lots of cool bath powders in Japan .,There are lots of cool bath powders in Japan .
Sake has a effect that makes your skin lustrous ! ! !,Sake has an effect that makes your skin lustrous ! ! !
Try it !,Try it !
And get your wonderful skin ! ! !,And get your wonderful skin ! ! !
I lost my wallet . :p,I lost my wallet . : p
I went to see my best friend who is in hospital today .,I went to see my best friend who is in hospital today .
There is the park between the nearest station and the hospital he is in .,There is a park between the nearest station and the hospital he is in .
"It was raining heavily , and I was listing to music in full volume .","It was raining heavily , and I was listening to music at full volume ."
"While I was walking through the park , somehow my wallet fell off from my pocket .","While I was walking through the park , somehow my wallet fell out of my pocket ."
"When I realized , I was in a cold sweat .","When I realized , I was in a cold sweat ."
"There were some cash cards , credit cards , my driver licence , and other stuff in my wallet !","There were some cash , credit cards , my driver 's licence , and other stuff in my wallet !"
But my wallet was taken to the police box by a kind gentlemen !,But my wallet was taken to the police box by a kind gentlemen !
I lost my wallet twice last year .,I lost my wallet twice last year .
Somehow the police officer knew it .,Somehow the police officer knew about it .
He told me to be more careful .,He told me to be more careful .
The sports event !,The sports event !
I 'm writing this journal entry by my iphone in the train .,I 'm writing this journal entry on my iphone on the train .
"Good morning , everyone !","Good morning , everyone !"
Today we are having a forum on the reaerches that my lab addressing !,Today we are having a forum on the research that my lab is addressing !
"After that , we gon na hold a lab sport event !","After that , we are going to hold a lab sport event !"
This time is a badminton tournament !,This time it is a badminton tournament !
All of the lab members including professors gon na take part in the tournament !,"All of the lab members , including professors , are going to take part in the tournament !"
So this has a aspect which is entertainment for the professors !,So this has an aspect which is entertainment for the professors !
"Anyway , I hope I will enjoy today 's events !","Anyway , I hope I will enjoy today 's events !"
It 's transfer station !,It 's transfer station !
I will be back to Lang8 at night if I am not exausted !,I will be back to Lang 8 at night if I am not exhausted !
"Have a great day , everyone ! !","Have a great day , everyone ! !"
See ya ! :),See ya ! :)
It 's Mother 's Day ! !,It 's Mother 's Day ! !
Oh my god ! !,Oh my god ! !
I do n't know why but what I wrote was all gone !,I do n't know why but what I wrote was all gone !
I have to write it again ...,I have to write it again ...
"Anyway , I got to rally my spirits ! ! !","Anyway , I got to rally my spirits ! ! !"
It 's Mother 's day ! ! ! ! ! !,It 's Mother 's day ! ! ! ! ! !
What did you do to your mom ?,What did you do to your mom ?
"That 's a lot of "" mom "" ! !","That 's a lot of "" mom "" ! !"
I had many bottles of sake tonight .,I had many bottles of sake tonight .
So I am so drunk now !,So I am so drunk now !
What I gave to my mom were a bunch of bath powders ! ! !,What I gave to my mom was a lot of bath powders ! ! !
Maybe you guys do n't have a culture to have a leisurely bath .,Maybe you guys do n't have a culture of having a leisurely bath .
But the bath powders are your best friends when you take a bath ! ! !,But the bath powders are your best friends when you take a bath ! ! !
There are many cool bath powders in Japan .,There are many cool bath powders in Japan .
Sake has an effect that makes your skin lustrous !,Sake has an effect that makes your skin lustrous !
And it smells great ! ! !,And it smells great ! ! !
Try it !,Try it !
And get your glossy skin !,And get glossy skin !
About these days !,About these days !
"Hi , everyone !","Hi , everyone !"
How have you been?(*´∀｀ ),How have you been ? ( * ́∀ ` )
We just finished graduate school entering test last week .,We just finished our graduate school entering test last week .
"After the test , we had interview .","After the test , we had an interview ."
"In the interview , interviewer told us if we did well or not at the test .","In the interview , the interviewer told us if we did well or not at the test ."
And they told me that I passed .,And they told me that I passed .
All of my friends passed as well !,All of my friends passed as well !
"So , what I have to do now is only doing research !","So , what I have to do now is only doing research !"
"By the way , I have a thing to ask you .","By the way , I have a thing to ask you ."
Do you believe that there is the right thing in this world ?,Do you believe that there is the right thing in this world ?
Some people believe that everything has its aspects .,Some people believe that everything has its aspects .
"Like the moon , things look different by the points you see from .","Like the moon , things look different from the points you see them from ."
We ca n't see the whole things at once .,We ca n't see the whole thing at once .
"A scientific speaking , we can only perceive by reflection of lights .","In scientific speaking , we can only perceive by reflection of lights ."
So we can never know what there is at the place that never gets light .,So we can never know what there is in a place that never gets light .
"What I wanna say is , right thing might be not right thing for others .","What I wanna say is , the right thing might not be the right thing for others ."
I want to figure out this complicated thing .,I want to figure out this complicated thing .
"So , I bought a book called "" A THEORY OF JUSTICE "" ! ! !","So , I bought a book called "" A THEORY OF JUSTICE "" ! ! !"
This is a book over 600 pages long !,This is a book over 600 pages long !
I have't read it more than 2 pages yet .,I have n't read more than 2 pages yet .
I 'm trying to finish this book with in this month .,I 'm trying to finish this book this month .
I also started English conversation class !,I also started an English conversation class !
It is really nice .,It is really nice .
I will write about this later !,I will write about this later !
My research is progressing well !,My research is progressing well !
So many things to write about !,So many things to write about !
One journal entry is not enough to finish up writing about my these days !,One journal entry is not enough to finish up writing about my these days !
Sightseeing with Lang8 friends ! ( 1 ),Sightseeing with Lang 8 friends ! ( 1 )
"In this journal , I will write about last Saturday !","In this journal , I will write about last Saturday !"
"Last Saturday , I went sightseeing around Nagoya with my Lang8 friends !","Last Saturday , I went sightseeing around Nagoya with my Lang 8 friends !"
